,id,cari,mig,sex,age,fam_size,rural_urban
2967,174894504,2,0,Man,32,4,Rural
2968,174894502,2,0,Man,43,8,Rural
2969,174894468,1,0,Man,79,4,Rural
2970,174894467,1,0,Man,50,5,Rural
2971,174894461,2,0,Woman,63,3,Rural
2972,174894158,2,1,Woman,28,5,Rural
2973,174894152,2,1,Woman,43,7,Urban
2974,174894147,1,0,Man,81,2,Urban
2975,174894108,1,0,Woman,60,2,Urban
2976,174894098,2,0,Woman,63,5,Urban
2977,174890991,1,1,Woman,52,8,Urban
2978,174890988,2,0,Woman,28,3,Rural
2979,174890987,1,0,Woman,75,6,Urban
2980,174890983,2,1,Woman,32,4,Urban
2981,174890980,2,1,Woman,42,4,Rural
2982,174890977,1,1,Man,52,6,Urban
2983,174890973,1,1,Woman,42,6,Rural
2984,174890969,2,1,Man,74,6,Rural
2985,174890964,1,1,Woman,46,5,Rural
2986,174890960,2,0,Woman,26,3,Rural
2987,174890958,2,0,Woman,62,4,Rural
2988,174890954,1,0,Woman,61,7,Rural
2989,174890952,1,0,Man,63,4,Urban
2990,174890947,1,0,Woman,65,3,Urban
2991,174890943,2,0,Woman,44,3,Rural
2992,174890939,2,1,Woman,40,5,Rural
2993,174890934,2,1,Woman,20,4,Rural
2994,174890931,1,1,Woman,48,4,Rural
2995,174889156,1,1,Woman,30,6,Urban
2996,174888098,2,0,Woman,55,5,Urban
2997,174888094,2,0,Man,49,6,Urban
2998,174888092,2,1,Woman,68,7,Urban
2999,174888089,1,1,Man,19,4,Urban
3000,174873610,1,1,Woman,45,5,Urban
3001,174861245,1,0,Woman,78,6,Rural
3002,174861240,2,1,Woman,50,4,Rural
3003,174861234,2,1,Woman,50,4,Rural
3004,174861228,2,1,Woman,53,5,Rural
3005,174860593,1,0,Woman,50,4,Urban
3006,174851917,2,1,Woman,59,2,Rural
3007,174851913,2,1,Woman,32,8,Rural
3008,174851903,2,0,Woman,37,8,Rural
3009,174851899,2,1,Man,27,6,Urban
3010,174851895,1,1,Man,37,4,Urban
3011,174848503,1,1,Woman,37,6,Urban
3012,174842494,1,1,Woman,29,5,Urban
3013,174838547,1,1,Woman,31,3,Rural
3014,174838544,1,0,Woman,48,3,Rural
3015,174838464,2,1,Woman,39,5,Urban
3016,174835349,2,1,Woman,40,2,Rural
3017,174833704,1,1,Man,50,2,Urban
3018,174833699,1,1,Woman,48,6,Urban
3019,174832118,2,0,Woman,22,2,Urban
3020,174826773,2,1,Woman,53,7,Rural
3021,175692028,1,0,Man,28,3,Rural
3022,174715808,2,0,Man,75,2,Rural
3023,174708317,1,0,Man,75,6,Rural
3024,174705412,1,1,Man,42,3,Rural
3025,174705409,1,1,Man,30,3,Rural
3026,174705406,1,1,Woman,24,4,Rural
3027,174705288,2,1,Woman,25,4,Rural
3028,174704827,3,1,Man,27,5,Rural
3029,174700550,3,1,Man,42,5,Rural
3030,174698410,2,0,Man,19,5,Rural
3031,174695594,2,0,Woman,19,4,Rural
3032,174693891,2,0,Woman,25,3,Rural
3033,174692401,3,0,Woman,18,2,Rural
3034,174690317,1,1,Man,45,2,Rural
3035,174689092,2,1,Woman,53,4,Rural
3036,174686010,2,1,Woman,49,4,Rural
3037,174682667,2,1,Man,22,4,Rural
3038,174681475,2,0,Man,54,3,Rural
3039,174681469,1,1,Man,43,7,Rural
3040,174681464,1,0,Woman,40,4,Rural
3041,174681462,3,1,Woman,22,7,Rural
3042,174681458,3,0,Woman,26,8,Rural
3043,174681453,3,0,Woman,70,5,Urban
3044,174676015,2,1,Woman,51,5,Rural
3045,174674867,2,0,Woman,28,3,Rural
3046,174674864,2,1,Woman,55,4,Urban
3047,174674863,2,1,Woman,56,7,Rural
3048,174674861,2,0,Woman,66,5,Rural
3049,174673514,2,0,Woman,42,3,Rural
3050,174673508,1,1,Woman,39,6,Rural
3051,174673503,1,1,Woman,18,8,Rural
3052,174673499,1,0,Woman,32,6,Urban
3053,174673496,2,0,Woman,71,2,Urban
3054,174667812,1,1,Man,58,11,Rural
3055,174667798,2,0,Man,66,3,Rural
3056,174667794,2,1,Woman,29,5,Rural
3057,174667790,2,0,Woman,48,7,Rural
3058,174667787,2,1,Woman,20,3,Rural
3059,174659921,2,0,Woman,38,4,Rural
3060,174659920,1,0,Man,63,2,Rural
3061,174659918,2,0,Woman,34,3,Rural
3062,174659915,2,0,Woman,45,4,Rural
3063,174658316,1,0,Woman,41,7,Urban
3064,174658312,3,1,Man,30,5,Urban
3065,174658309,2,1,Woman,27,6,Urban
3066,174658306,2,1,Woman,18,7,Urban
3067,174658302,2,1,Man,40,5,Rural
3068,174658299,2,1,Man,24,5,Rural
3069,174658296,3,0,Woman,20,13,Rural
3070,174658294,2,1,Man,26,9,Rural
3071,174657541,1,2,Man,23,8,Urban
3072,174657540,1,1,Woman,18,7,Urban
3073,174657539,1,0,Man,54,8,Urban
3074,174657538,1,2,Man,32,7,Urban
3075,174657537,1,1,Man,50,5,Rural
3076,174657536,2,1,Man,26,8,Rural
3077,174657535,1,0,Woman,36,5,Rural
3078,174657414,1,0,Man,55,2,Urban
3079,174657409,1,1,Woman,21,4,Urban
3080,174657406,1,1,Woman,20,2,Urban
3081,174657405,2,0,Man,69,6,Urban
3082,174657404,1,0,Woman,31,6,Rural
3083,174657403,1,0,Woman,40,6,Rural
3084,174657402,1,1,Woman,20,4,Rural
3085,174657400,1,0,Woman,53,5,Rural
3086,174657399,1,0,Woman,18,5,Rural
3087,174656971,3,1,Woman,26,6,Urban
3088,174656969,2,0,Woman,25,3,Urban
3089,174656968,2,1,Woman,24,3,Urban
3090,174656967,2,0,Woman,42,3,Urban
3091,174656961,2,0,Woman,24,4,Rural
3092,174656959,2,1,Man,20,4,Rural
3093,174656958,3,0,Woman,67,8,Rural
3094,174656957,3,0,Woman,22,16,Rural
3095,174656546,1,0,Man,62,5,Rural
3096,174656544,3,1,Man,30,4,Rural
3097,174656541,1,1,Woman,53,2,Rural
3098,174655744,1,0,Woman,31,2,Rural
3099,174655743,1,1,Woman,32,4,Rural
3100,174655741,1,0,Man,80,2,Rural
3101,174655740,1,1,Woman,24,3,Rural
3102,174655697,2,0,Woman,41,3,Rural
3103,174655695,2,0,Man,30,3,Rural
3104,174650649,1,1,Woman,58,2,Urban
3105,174650647,1,1,Woman,48,5,Urban
3106,174650644,1,0,Woman,31,4,Urban
3107,174650642,1,0,Woman,63,2,Urban
3108,174650640,1,0,Woman,49,2,Urban
3109,174650616,1,0,Man,70,3,Urban
3110,174650614,1,0,Man,68,5,Urban
3111,174650611,2,0,Woman,48,3,Urban
3112,174650609,1,0,Woman,56,2,Urban
3113,174650607,1,0,Woman,58,4,Urban
3114,174650594,1,0,Woman,33,5,Urban
3115,174650593,1,0,Woman,26,3,Urban
3116,174650592,1,0,Man,45,1,Urban
3117,174650589,1,0,Man,22,4,Urban
3118,174650587,1,0,Woman,30,3,Urban
3119,174650195,3,0,Woman,38,3,Rural
3120,174650193,1,0,Man,40,3,Rural
3121,174650192,2,0,Woman,84,2,Rural
3122,174650188,2,0,Woman,68,3,Rural
3123,174650187,2,1,Woman,32,4,Rural
3124,174650186,2,1,Woman,28,3,Rural
3125,174648327,1,0,Woman,30,3,Rural
3126,174645582,1,1,Man,25,4,Rural
3127,174645580,1,0,Man,44,4,Rural
3128,174645578,1,0,Woman,55,4,Rural
3129,174645576,2,1,Woman,28,4,Rural
3130,174645575,2,1,Woman,68,2,Rural
3131,174645574,1,1,Woman,43,3,Rural
3132,174644318,1,0,Woman,36,4,Urban
3133,174644314,2,0,Woman,47,3,Urban
3134,174644235,1,0,Man,55,4,Rural
3135,174644234,1,1,Man,56,2,Rural
3136,174644233,2,1,Woman,33,5,Rural
3137,174644232,1,0,Woman,59,3,Rural
3138,174644231,2,0,Woman,60,2,Rural
3139,174644230,2,0,Woman,41,8,Rural
3140,174644228,1,0,Woman,34,4,Rural
3141,174644226,2,0,Woman,53,4,Rural
3142,174644225,1,0,Woman,39,4,Rural
3143,174644224,1,0,Woman,62,7,Rural
3144,174644223,1,0,Man,54,6,Rural
3145,174644222,1,0,Woman,62,3,Rural
3146,174644221,1,0,Man,50,6,Rural
3147,174644220,1,0,Woman,26,2,Rural
3148,174644218,1,1,Woman,24,5,Rural
3149,174637676,1,0,Woman,33,4,Urban
3150,174637672,2,1,Woman,29,5,Urban
3151,174637668,2,0,Woman,63,2,Urban
3152,174637569,1,0,Woman,23,4,Rural
3153,174637564,2,0,Woman,23,4,Rural
3154,174637560,2,0,Man,58,5,Rural
3155,174637379,2,1,Woman,66,4,Urban
3156,174637376,2,1,Woman,38,5,Urban
3157,174637369,1,1,Man,34,4,Urban
3158,174637074,2,1,Man,46,6,Urban
3159,174637067,1,1,Woman,49,6,Urban
3160,174636974,1,1,Woman,50,3,Rural
3161,174636970,1,1,Man,58,4,Rural
3162,174636967,1,1,Woman,22,3,Rural
3163,174636964,1,1,Woman,26,4,Rural
3164,174636745,1,0,Man,55,3,Rural
3165,174636744,1,1,Woman,57,3,Rural
3166,174636742,2,0,Woman,20,4,Rural
3167,174636510,1,0,Woman,47,7,Rural
3168,174636507,1,1,Man,25,9,Rural
3169,174631170,1,0,Woman,44,6,Rural
3170,174631161,2,2,Woman,35,2,Rural
3171,174631152,2,0,Woman,65,3,Rural
3172,174631138,3,0,Woman,50,5,Rural
3173,174631128,2,1,Woman,65,3,Rural
3174,174631108,2,0,Woman,48,6,Rural
3175,174631080,2,0,Man,40,5,Urban
3176,174631055,2,1,Woman,25,2,Urban
3177,174630976,2,1,Woman,50,3,Urban
3178,174630961,2,0,Woman,39,4,Urban
3179,174630939,2,0,Woman,40,3,Urban
3180,174630914,2,1,Woman,52,4,Urban
3181,174629824,3,0,Woman,40,6,Rural
3182,174629823,1,1,Man,33,2,Rural
3183,174629821,1,1,Woman,56,0,Rural
3184,174629367,2,1,Woman,21,3,Rural
3185,174629364,1,0,Woman,24,3,Rural
3186,174629357,1,0,Woman,46,2,Rural
3187,174629150,2,0,Woman,40,4,Rural
3188,174629146,1,0,Man,78,3,Rural
3189,174629143,1,1,Woman,47,3,Rural
3190,174628550,2,0,Man,46,2,Rural
3191,174628515,2,0,Woman,42,6,Rural
3192,174628487,1,0,Woman,73,4,Rural
3193,174628462,1,2,Man,37,7,Rural
3194,174628219,2,1,Woman,58,5,Rural
3195,174628200,1,1,Woman,28,4,Rural
3196,174627297,2,1,Man,60,3,Rural
3197,174627291,1,1,Woman,60,3,Urban
3198,174627285,1,1,Woman,23,7,Urban
3199,174627195,1,1,Man,23,7,Urban
3200,174627189,1,1,Man,37,4,Urban
3201,174627181,1,1,Man,34,4,Urban
3202,174627038,1,0,Woman,24,5,Urban
3203,174627025,2,0,Man,69,2,Urban
3204,174627014,1,0,Man,65,3,Urban
3205,174626686,2,0,Woman,68,2,Urban
3206,174626678,1,1,Woman,75,4,Urban
3207,174626639,1,0,Man,67,2,Urban
3208,174626635,1,0,Woman,44,4,Rural
3209,174626625,1,1,Woman,51,7,Urban
3210,174624813,2,0,Woman,26,4,Rural
3211,174624811,2,1,Woman,44,3,Rural
3212,174624809,2,0,Woman,70,5,Rural
3213,174622745,2,1,Woman,46,3,Urban
3214,174622743,1,0,Woman,65,2,Urban
3215,174622738,2,1,Woman,50,1,Urban
3216,174622736,2,1,Woman,19,5,Urban
3217,174622731,2,1,Woman,59,1,Urban
